2023-05-05 12:11:15.869 [restartedMain] INFO  i.premium.backend.BackendApplication - Starting BackendApplication using Java 17.0.1 with PID 22768 (C:\InsuranceProject\team1insurance\backend\backend\target\classes started by 235925 in C:\InsuranceProject\team1insurance\backend)
2023-05-05 12:11:15.876 [restartedMain] INFO  i.premium.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-05 12:11:15.991 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-05 12:11:16.011 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-05 12:11:17.434 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-05 12:11:17.646 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 197 ms. Found 5 JPA repository interfaces.
2023-05-05 12:11:19.287 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-05 12:11:19.304 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-05 12:11:19.306 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-05 12:11:19.307 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-05 12:11:19.884 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-05 12:11:19.887 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3872 ms
2023-05-05 12:11:20.193 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-05 12:11:20.305 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
